Country,X_deg,Y_deg,Pop,ElecPop,GridCellArea,NightLights,IsUrban,GHI,WindVel,TravelHours,Elevation,Slope,LandCover,SubstationDist,CurrentHVLineDist,PlannedHVLineDist,CurrentMVLineDist,PlannedMVLineDist,GridDistCurrent,GridDistPlan,TransformerDist,RoadDist,HydropowerDist,Hydropower,HydropowerFID,NumPeoplePerHH,PerCapitaDemand,AgriDemand,HealthDemand,EducationDemand,CommercialDemand,ElectrificationOrder,Conflict,mean_rwi,productive_multiplier_osm,n_health_combined,n_education_combined,anchor_load_kwh_yr,growth_factor,pop_2030_worldpop,admin1_name,admin2_name
,1.803072,6.445971,75,31,0.001,50,0,1740.1,3.0,0.008,200.0,0.5,5,10.242,15.457,15.492,10.242,15.492,10.242,15.492,10.242,0.0,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.2415,0.2,0,1,0.0,1.2667,95,Mono,Grand-Popo
,1.361286,9.921591,170,0,0.001,0,0,1993.9,3.0,0.322,200.0,0.5,5,30.589,17.244,33.995,30.589,33.995,17.244,33.995,30.589,2.643,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.273,0.2,0,0,0.0,1.1729,115,Unknown,Unknown
,2.018046,6.729198,82,0,0.001,0,0,1717.0,3.0,0.4,200.0,0.5,5,7.452,2.863,2.51,7.452,2.51,2.863,2.51,7.452,4.245,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.621,0.2,0,0,0.0,1.2246,63,Mono,Bopa
,1.143237,10.501883,77,0,0.001,0,0,1997.6,3.0,0.368,200.0,0.5,5,41.255,41.345,16.349,41.255,16.349,41.255,16.349,41.255,2.729,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.745,0.2,0,0,0.0,1.1044,33,Atakora,Tanguiéta
,2.931086,10.998059,31,0,0.001,0,0,2055.3,3.0,0.368,200.0,0.5,5,13.81,92.625,4.337,13.81,4.337,13.81,4.337,13.81,5.661,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.821,0.2,0,0,0.0,1.5806,49,Alibori,Kandi
,1.774181,7.370384,134,0,0.001,0,0,1797.0,3.0,0.444,200.0,0.5,5,36.075,15.846,35.03,36.075,35.03,15.846,35.03,36.075,6.192,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.3575,0.2,0,0,0.0,1.3158,39,Zou,Djidja
,1.361839,9.594462,49,0,0.001,0,0,1986.2,3.0,0.105,200.0,0.5,5,30.778,9.874,9.831,30.778,9.831,9.874,9.831,30.778,3.057,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.379,0.2,0,0,0.0,1.1729,28,Donga,Ouaké
,2.280023,7.266475,52,0,0.001,0,0,1755.4,3.0,0.198,200.0,0.5,5,24.846,5.115,28.612,24.846,28.612,5.115,28.612,24.846,6.679,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.3575,0.2,0,0,0.0,1.3158,37,Zou,Covè
,2.603131,7.030268,70,0,0.001,0,0,1713.4,3.0,0.075,200.0,0.5,5,8.754,5.592,32.576,8.754,32.576,5.592,32.576,8.754,4.716,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.358,0.2,0,0,0.0,0.9,62,Plateau,Adja-Ouèrè
,1.913181,6.917517,317,0,0.001,0,0,1763.8,3.0,0.068,200.0,0.5,5,18.744,25.012,15.143,18.744,15.143,18.744,15.143,18.744,0.262,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.003,0.2,0,0,0.0,0.9907,163,Kouffo,Lalo
